img,imgTransferSize,imgActualSize
ui-chevron-right-blue.svg,0,236.0
ui-chevron-right-blue.svg,0,236.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=40&u=C&tc=19&z=0,17,0.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
collect?v=1&_v=j96&a=1773795092&t=pageview&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640&j,55,35.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
?id=323880234473061&ev=PageView&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&rl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&if=false&ts=1650725588596&sw=360&sh=640&v=2.9.57&r=stable&ec,410,44.0
?random=1650725587411&cv=9&fst=1650722400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,108,42.0
?random=1650725587411&cv=9&fst=1650722400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,548,42.0
?random=1650725587413&cv=9&fst=1650722400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,548,42.0
?random=1650725587413&cv=9&fst=1650722400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,108,42.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=41&u=C&tc=19&z=0,17,0.0
icon-flag-China.svg,935,683.0
icon-flag-US.svg,15386,15120.0
icon-branch-inverse.svg,0,923.0
icon-phone-inverse.svg,0,1963.0
icon-email-inverse.svg,0,562.0
ui-external-arrow-right-white.svg,0,256.0
ID16_vantage.jpg,315512,314640.0
energy-lines.png,0,14771.0
map-bg.jpg,94477,94092.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&e=gtm.js&eid=3&u=C&tc=19&tr=5ua&ti=1ua&z=0,17,0.0
MS50_Debt-Reduction.jpg,66308,65696.0
ui-external-arrow-right-blue.svg,159,251.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=0&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=42&u=C&tc=19&tr=1ua.5ua&ti=1ua.1ua&z=0,17,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=gtm.load&eid=52&u=C&tc=19&tr=1html.5html&ti=1html.1html&z=0,17,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=55&u=C&tc=19&z=0,17,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=59&u=C&tc=19&z=0,17,0.0
Chilton_-_Testamentary_Trust_Thumbnail-default_402x.jpg,61678,62652.0
chilton-up-to-date-will-EN-thumbnail-branded.jpg,76662,76961.0
David-Chilton_Thumbnail-default@2x.jpg,39941,40287.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=63&u=C&tc=19&z=0,17,0.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=67&u=C&tc=19&z=0,17,0.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=80&u=C&tc=19&z=0,17,0.0
pageTransferSize,2767398,
totalByteWeight,9110187,
